Transaction Date,Opening Price,High Price,Low Price,Close Price,Turnover Volume,Turnover Amount
2024/3/12,8.25,8.8,8.21,8.34,265032570,2251401472
2024/3/13,8.25,8.59,8.1,8.37,228077298,1900335744
2024/3/14,8.17,8.17,7.53,7.59,242788281,1874884224
2024/3/15,7.49,7.74,7.49,7.64,135222713,1029117120
2024/3/18,7.8,8.4,7.8,8.4,234844411,1920265728
2024/3/19,8.8,8.95,8.55,8.65,291311002,2539544064
2024/3/20,8.65,8.79,8.45,8.61,174143393,1494772096
2024/3/21,8.59,9.28,8.56,8.74,248738927,2226131968
2024/3/22,8.4,8.66,8.15,8.29,188193295,1571370496
2024/3/25,8.2,8.28,7.8,7.83,117987957,949725056
2024/3/26,7.8,7.85,7.45,7.58,94134941,716232064
2024/3/27,7.59,7.66,7.2,7.24,78882726,582978176
2024/3/28,7.24,7.58,7.17,7.47,97283148,724095872
2024/3/29,7.46,7.49,7.18,7.27,83126167,604845504
2024/4/1,7.25,7.33,7.21,7.3,70266810,510435552
2024/4/2,7.25,7.29,6.97,7.03,83231704,588157632
2024/4/3,6.97,7.01,6.75,6.81,62355996,426430016
2024/4/8,6.77,6.83,6.58,6.6,55425534,370604032
2024/4/9,6.61,6.72,6.54,6.71,54099791,359528800
2024/4/10,6.7,6.77,6.46,6.54,59186712,390327136
2024/4/11,6.46,6.77,6.42,6.65,70404796,469032896
2024/4/12,6.69,6.74,6.55,6.59,48671543,324130176
2024/4/15,6.52,6.6,6.17,6.28,69850022,443171296
2024/4/16,6.33,6.41,5.86,5.86,66319926,401807168
2024/4/17,5.94,6.32,5.94,6.3,68295580,424477824
2024/4/18,6.23,6.39,6.14,6.26,62252246,389250592
2024/4/19,6.21,6.3,6.14,6.21,37105566,230531216
2024/4/22,6.16,6.2,6.01,6.14,32808266,200912832
2024/4/23,6.3,6.49,6.14,6.39,107322298,679801472
2024/4/24,6.35,6.44,6.24,6.41,89273531,568544192
2024/4/25,6.38,6.48,6.3,6.35,66296046,422554816
2024/4/26,6.18,6.46,6.15,6.41,83732812,532194336
2024/4/29,6.48,6.66,6.48,6.59,89974939,591911104
2024/4/30,6.61,6.61,6.29,6.36,75322790,481654464
2024/5/6,6.44,6.58,6.42,6.55,69534604,453038400
2024/5/7,6.54,6.85,6.46,6.83,151768276,1019259520
2024/5/8,6.9,7.5,6.73,7.18,208655060,1481551488
2024/5/9,6.98,7.11,6.9,7.09,107693893,755369984
2024/5/10,7.05,7.06,6.74,6.86,95077105,653457024
2024/5/13,6.7,6.7,6.18,6.28,118307438,751095424
2024/5/14,6.19,6.37,6.09,6.21,60525252,375035904
2024/5/15,6.23,6.24,6.07,6.08,46846440,286855904
